[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
001:(01/01),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
002:(01/02),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.04,0.01,0.02,0.03,0.01,0.01,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3
003:(01/03),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.06,0.12,0.78,0.76,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.0
004:(01/04),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.75,1.81,2.22,2.52,2.58,1.35,1.09,1.49,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.7
005:(01/05),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.34,0.87,1.29,1.65,2.25,2.20,1.88,1.33,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.6
006:(01/06),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.97,2.17,2.56,2.76,2.75,2.14,0.97,0.21,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.8
007:(01/07),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.78,1.85,2.31,2.52,2.44,2.25,1.78,1.07,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.5
008:(01/08),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.65,1.57,2.05,2.16,2.16,2.14,0.96,0.11,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.0
009:(01/09),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.89,1.93,2.37,2.62,2.67,2.62,2.28,1.78,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.3
010:(01/10),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.89,1.96,2.12,2.02,1.81,1.28,1.07,1.02,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.8
011:(01/11),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.75,1.70,2.06,2.19,1.28,0.63,0.18,0.27,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.2
