[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
001:(01/01),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.20,0.31,0.35,0.22,0.15,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.5
002:(01/02),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.23,0.18,0.24,0.31,0.21,0.14,0.15,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.7
003:(01/03),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.16,0.24,0.41,0.47,0.52,0.53,0.33,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.9
004:(01/04),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.22,0.25,0.30,0.30,0.30,0.59,0.49,0.23,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8
005:(01/05),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.22,0.42,0.54,0.56,0.41,0.37,0.32,0.26,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
006:(01/06),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.20,0.18,0.21,0.23,0.25,0.38,0.52,0.31,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.5
007:(01/07),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.22,0.25,0.27,0.30,0.35,0.35,0.35,0.31,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.6
008:(01/08),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.30,0.34,0.41,0.43,0.38,0.53,0.26,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.0
009:(01/09),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.22,0.25,0.27,0.28,0.24,0.23,0.19,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.1
010:(01/10),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.22,0.33,0.46,0.55,0.62,0.52,0.32,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4
011:(01/11),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.22,0.28,0.34,0.41,0.69,0.71,0.48,0.34,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.6
012:(01/12),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.14,0.16,0.20,0.27,0.28,0.28,0.18,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.6
013:(01/13),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.23,0.35,0.39,0.42,0.46,0.49,0.47,0.36,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
014:(01/14),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.22,0.25,0.28,0.29,0.30,0.33,0.32,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.4
015:(01/15),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.22,0.39,0.48,0.52,0.51,0.46,0.35,0.33,0.16,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.5
016:(01/16),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.23,0.33,0.41,0.47,0.51,0.51,0.46,0.38,0.17,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.5
017:(01/17),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.39,0.52,0.62,0.63,0.65,0.21,0.10,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.5
018:(01/18),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.29,0.55,0.43,0.38,0.49,0.38,0.22,0.15,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2
019:(01/19),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.22,0.31,0.37,0.41,0.43,0.37,0.34,0.33,0.18,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.0
020:(01/20),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.23,0.38,0.43,0.48,0.53,0.51,0.47,0.37,0.18,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.6
021:(01/21),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.28,0.35,0.36,0.27,0.17,0.11,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.8
022:(01/22),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.37,0.45,0.48,0.46,0.49,0.47,0.29,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4
023:(01/23),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.24,0.24,0.26,0.27,0.25,0.23,0.18,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.1
024:(01/24),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.24,0.41,0.50,0.63,0.83,0.72,0.63,0.43,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.7
025:(01/25),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.14,0.49,0.43,0.57,0.66,0.69,0.61,0.42,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.3
026:(01/26),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.23,0.30,0.34,0.37,0.36,0.33,0.30,0.26,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8
027:(01/27),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.31,0.81,0.84,0.76,0.29,0.44,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.2
028:(01/28),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.22,0.28,0.28,0.34,0.36,0.31,0.27,0.22,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.6
029:(01/29),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.22,0.30,0.41,0.50,0.47,0.49,0.55,0.45,0.22,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
030:(01/30),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.22,0.28,0.29,0.31,0.35,0.47,0.60,0.46,0.22,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
031:(01/31),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.34,0.42,0.43,0.42,0.38,0.36,0.36,0.24,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
032:(02/01),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.26,0.41,0.56,0.71,0.82,0.81,0.68,0.48,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.0
033:(02/02),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.28,0.36,0.35,0.38,0.40,0.48,0.66,0.47,0.22,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
