[ß],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
001:(01/01),0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.9,19.6,26.3,30.3,31.1,28.6,23.0,15.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002:(01/02),0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.9,19.6,26.3,30.4,31.2,28.7,23.2,15.3,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003:(01/03),0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.9,19.6,26.4,30.5,31.3,28.8,23.3,15.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004:(01/04),0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.9,19.6,26.4,30.5,31.4,28.9,23.4,15.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005:(01/05),0.0,0.0,0.0,0.0,0.0,0.0,0.7,10.9,19.7,26.5,30.6,31.5,29.1,23.6,15.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006:(01/06),0.0,0.0,0.0,0.0,0.0,0.0,0.7,10.9,19.7,26.5,30.7,31.7,29.2,23.7,15.9,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007:(01/07),0.0,0.0,0.0,0.0,0.0,0.0,0.7,10.9,19.7,26.6,30.8,31.8,29.3,23.9,16.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008:(01/08),0.0,0.0,0.0,0.0,0.0,0.0,0.7,10.9,19.8,26.7,30.9,31.9,29.5,24.0,16.2,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009:(01/09),0.0,0.0,0.0,0.0,0.0,0.0,0.7,11.0,19.8,26.8,31.0,32.0,29.6,24.2,16.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010:(01/10),0.0,0.0,0.0,0.0,0.0,0.0,0.8,11.0,19.9,26.8,31.1,32.2,29.8,24.4,16.6,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011:(01/11),0.0,0.0,0.0,0.0,0.0,0.0,0.8,11.0,19.9,26.9,31.3,32.3,30.0,24.5,16.7,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012:(01/12),0.0,0.0,0.0,0.0,0.0,0.0,0.8,11.1,20.0,27.0,31.4,32.5,30.1,24.7,16.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
013:(01/13),0.0,0.0,0.0,0.0,0.0,0.0,0.8,11.1,20.1,27.1,31.5,32.7,30.3,24.9,17.1,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014:(01/14),0.0,0.0,0.0,0.0,0.0,0.0,0.9,11.2,20.2,27.3,31.7,32.8,30.5,25.1,17.3,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015:(01/15),0.0,0.0,0.0,0.0,0.0,0.0,0.9,11.3,20.3,27.4,31.8,33.0,30.7,25.3,17.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016:(01/16),0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,20.4,27.5,32.0,33.2,30.9,25.5,17.7,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017:(01/17),0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.4,20.5,27.7,32.2,33.4,31.1,25.7,17.9,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
018:(01/18),0.0,0.0,0.0,0.0,0.0,0.0,1.1,11.5,20.6,27.8,32.4,33.6,31.3,25.9,18.1,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019:(01/19),0.0,0.0,0.0,0.0,0.0,0.0,1.2,11.6,20.7,27.9,32.5,33.8,31.5,26.1,18.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
