[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
001:(01/01),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.10,0.16,0.18,0.11,0.08,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.8
002:(01/02),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.12,0.09,0.12,0.16,0.11,0.07,0.08,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.9
003:(01/03),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.08,0.12,0.21,0.24,0.26,0.27,0.17,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.5
004:(01/04),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.15,0.15,0.15,0.30,0.25,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.4
005:(01/05),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.21,0.27,0.28,0.21,0.19,0.16,0.13,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.6
006:(01/06),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.09,0.11,0.12,0.13,0.19,0.26,0.16,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.3
007:(01/07),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.14,0.15,0.18,0.18,0.18,0.16,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.3
008:(01/08),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.15,0.17,0.21,0.22,0.19,0.27,0.13,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.5
009:(01/09),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.11,0.13,0.14,0.14,0.12,0.12,0.10,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.1
010:(01/10),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.11,0.17,0.23,0.28,0.31,0.26,0.16,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.7
