[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
001:(01/01),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
002:(01/02),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
003:(01/03),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.05,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2
004:(01/04),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.09,0.09,0.07,0.05,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
005:(01/05),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.08,0.09,0.08,0.07,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
006:(01/06),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.10,0.10,0.08,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
007:(01/07),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.09,0.09,0.08,0.06,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
008:(01/08),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.09,0.09,0.08,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
009:(01/09),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.09,0.10,0.09,0.07,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.6
010:(01/10),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.09,0.08,0.07,0.06,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
011:(01/11),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.09,0.08,0.05,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.4
012:(01/12),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
013:(01/13),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.09,0.09,0.08,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
014:(01/14),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.10,0.10,0.09,0.07,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.6
015:(01/15),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.08,0.09,0.08,0.07,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
016:(01/16),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.09,0.09,0.08,0.06,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5
