[ß],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
001:(01/01),0.0,0.0,0.0,0.0,0.0,0.0,-60.5,-51.0,-39.9,-26.8,-11.8,4.3,19.9,34.0,46.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002:(01/02),0.0,0.0,0.0,0.0,0.0,0.0,-60.6,-51.1,-40.0,-26.9,-11.9,4.1,19.8,33.9,46.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003:(01/03),0.0,0.0,0.0,0.0,0.0,0.0,-60.8,-51.3,-40.2,-27.1,-12.1,4.0,19.7,33.9,45.9,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004:(01/04),0.0,0.0,0.0,0.0,0.0,0.0,-60.9,-51.4,-40.3,-27.2,-12.2,3.9,19.7,33.8,45.9,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005:(01/05),0.0,0.0,0.0,0.0,0.0,0.0,-61.0,-51.6,-40.5,-27.4,-12.3,3.8,19.6,33.8,45.9,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006:(01/06),0.0,0.0,0.0,0.0,0.0,0.0,-61.2,-51.7,-40.6,-27.5,-12.5,3.7,19.5,33.7,45.9,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007:(01/07),0.0,0.0,0.0,0.0,0.0,0.0,-61.4,-51.9,-40.8,-27.7,-12.6,3.6,19.4,33.7,45.9,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008:(01/08),0.0,0.0,0.0,0.0,0.0,0.0,-61.5,-52.0,-41.0,-27.8,-12.8,3.5,19.4,33.7,45.9,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009:(01/09),0.0,0.0,0.0,0.0,0.0,0.0,-61.7,-52.2,-41.1,-28.0,-12.9,3.4,19.3,33.6,45.9,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010:(01/10),0.0,0.0,0.0,0.0,0.0,0.0,-61.8,-52.4,-41.3,-28.2,-13.0,3.2,19.2,33.6,45.9,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011:(01/11),0.0,0.0,0.0,0.0,0.0,0.0,-62.0,-52.6,-41.5,-28.3,-13.2,3.1,19.2,33.6,45.9,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012:(01/12),0.0,0.0,0.0,0.0,0.0,0.0,-62.2,-52.7,-41.6,-28.5,-13.3,3.0,19.1,33.6,46.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
013:(01/13),0.0,0.0,0.0,0.0,0.0,0.0,-62.4,-52.9,-41.8,-28.7,-13.5,2.9,19.1,33.6,46.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014:(01/14),0.0,0.0,0.0,0.0,0.0,0.0,-62.6,-53.1,-42.0,-28.8,-13.6,2.9,19.0,33.6,46.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015:(01/15),0.0,0.0,0.0,0.0,0.0,0.0,-62.8,-53.3,-42.2,-29.0,-13.8,2.8,19.0,33.6,46.1,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016:(01/16),0.0,0.0,0.0,0.0,0.0,0.0,-63.0,-53.5,-42.4,-29.2,-13.9,2.7,19.0,33.6,46.1,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017:(01/17),0.0,0.0,0.0,0.0,0.0,0.0,-63.2,-53.7,-42.6,-29.4,-14.0,2.6,18.9,33.7,46.2,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
018:(01/18),0.0,0.0,0.0,0.0,0.0,0.0,-63.4,-53.9,-42.7,-29.5,-14.2,2.5,18.9,33.7,46.2,56.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019:(01/19),0.0,0.0,0.0,0.0,0.0,0.0,-63.6,-54.1,-42.9,-29.7,-14.3,2.4,18.9,33.7,46.3,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020:(01/20),0.0,0.0,0.0,0.0,0.0,0.0,-63.8,-54.3,-43.1,-29.9,-14.4,2.3,18.9,33.8,46.4,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021:(01/21),0.0,0.0,0.0,0.0,0.0,0.0,-64.0,-54.5,-43.3,-30.1,-14.6,2.3,18.9,33.8,46.5,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
022:(01/22),0.0,0.0,0.0,0.0,0.0,0.0,-64.2,-54.7,-43.5,-30.2,-14.7,2.2,18.9,33.9,46.6,57.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
023:(01/23),0.0,0.0,0.0,0.0,0.0,0.0,-64.4,-54.9,-43.7,-30.4,-14.9,2.1,18.9,33.9,46.7,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
024:(01/24),0.0,0.0,0.0,0.0,0.0,0.0,-64.6,-55.1,-43.9,-30.6,-15.0,2.1,18.9,34.0,46.8,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
025:(01/25),0.0,0.0,0.0,0.0,0.0,0.0,-64.9,-55.3,-44.1,-30.8,-15.1,2.0,18.9,34.1,46.9,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026:(01/26),0.0,0.0,0.0,0.0,0.0,0.0,-65.1,-55.5,-44.3,-30.9,-15.3,1.9,18.9,34.1,47.0,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
