[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
001:(01/01),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.03,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2
002:(01/02),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.05,0.01,0.02,0.03,0.01,0.01,0.03,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.4
003:(01/03),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.04,0.05,0.07,0.15,1.02,1.13,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8
004:(01/04),0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.23,2.52,2.79,2.99,3.03,1.64,1.43,2.22,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.5
005:(01/05),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.56,1.21,1.62,1.96,2.65,2.67,2.47,1.99,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.6
006:(01/06),0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.60,3.04,3.23,3.29,3.24,2.60,1.28,0.32,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.2
007:(01/07),0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.28,2.59,2.92,3.01,2.87,2.74,2.34,1.60,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.3
008:(01/08),0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.08,2.21,2.60,2.58,2.55,2.61,1.26,0.16,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.4
009:(01/09),0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.48,2.73,3.01,3.14,3.15,3.19,3.00,2.67,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.4
010:(01/10),0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.48,2.78,2.69,2.42,2.14,1.56,1.41,1.53,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.2
011:(01/11),0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.25,2.41,2.62,2.63,1.52,0.77,0.24,0.40,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.2
012:(01/12),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.03,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2
013:(01/13),0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.03,1.95,2.44,2.61,2.53,2.24,1.84,0.47,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.2
014:(01/14),0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.62,2.77,3.05,3.12,3.14,2.99,2.58,1.72,0.43,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.7
