[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
001:(01/01),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.21,0.32,0.36,0.23,0.15,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.5
002:(01/02),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.25,0.19,0.25,0.33,0.22,0.14,0.16,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.8
003:(01/03),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.17,0.26,0.43,0.51,0.59,0.93,0.63,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
004:(01/04),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.45,1.10,1.54,1.82,1.88,1.38,1.06,0.83,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.4
005:(01/05),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.33,0.83,1.26,1.56,1.79,1.66,1.31,0.80,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.9
006:(01/06),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.50,1.20,1.65,1.91,1.95,1.65,1.03,0.40,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.5
007:(01/07),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.46,1.12,1.58,1.84,1.86,1.69,1.30,0.75,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.9
008:(01/08),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.43,1.05,1.51,1.74,1.78,1.67,1.04,0.31,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.7
009:(01/09),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.49,1.15,1.61,1.89,1.95,1.82,1.46,0.94,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.7
010:(01/10),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.49,1.16,1.54,1.71,1.69,1.40,1.10,0.76,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.2
011:(01/11),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.46,1.10,1.53,1.77,1.50,1.09,0.58,0.46,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.7
